unit_id,lcdb_class,area_ha,advisory_rule_ids,pre1990_overlap_m2,pre1990_overlap_pct,conservation_overlap_m2,conservation_overlap_pct,max_overlap_pct
lcdb1000036131,Low Producing Grassland,2063.8358,R-04-low-overlap,0.0,0.0,104644.88,0.507,0.507
lcdb1000412067,High Producing Exotic Grassland,2.0263,R-03-low-overlap,102.7,0.5068,0.0,0.0,0.5068
lcdb1000700726,High Producing Exotic Grassland,12.0531,R-03-low-overlap,602.14,0.4996,0.0,0.0,0.4996
lcdb1000034785,High Producing Exotic Grassland,1252.7036,R-03-low-overlap|R-04-low-overlap,62212.24,0.4966,51135.6,0.4082,0.4966
lcdb1000611286,High Producing Exotic Grassland,6.0408,R-03-low-overlap,297.66,0.4927,0.0,0.0,0.4927
lcdb1000058380,Low Producing Grassland,344.8019,R-03-low-overlap,16651.09,0.4829,0.0,0.0,0.4829
lcdb1000035680-part-61,High Producing Exotic Grassland,35180.9684,R-03-low-overlap|R-04-low-overlap,457850.8,0.1301,1688006.63,0.4798,0.4798
lcdb1000453054,High Producing Exotic Grassland,3.5696,R-03-low-overlap,169.64,0.4752,0.0,0.0,0.4752
lcdb1000700752,High Producing Exotic Grassland,23.8654,R-03-low-overlap,1133.61,0.475,0.0,0.0,0.475
lcdb1000036956,High Producing Exotic Grassland,1138.811,R-03-low-overlap,54080.09,0.4749,0.0,0.0,0.4749
lcdb1000036493,High Producing Exotic Grassland,88.3852,R-03-low-overlap,4081.66,0.4618,0.0,0.0,0.4618
lcdb1000035378-part-10,High Producing Exotic Grassland,1828.6849,R-03-low-overlap,82649.28,0.452,0.0,0.0,0.452
lcdb1000036458,High Producing Exotic Grassland,991.7739,R-03-low-overlap,44278.41,0.4465,0.0,0.0,0.4465
lcdb1000071993,Gorse and/or Broom,5.8729,R-03-low-overlap,254.69,0.4337,0.0,0.0,0.4337
lcdb1000402618,Low Producing Grassland,17.0085,R-03-low-overlap,713.04,0.4192,0.0,0.0,0.4192
lcdb1000058046-part-1,Low Producing Grassland,6.5489,R-03-low-overlap,272.73,0.4165,0.0,0.0,0.4165
lcdb1000035680-part-56,High Producing Exotic Grassland,23754.8881,R-03-low-overlap|R-04-low-overlap,973131.3,0.4097,684500.83,0.2882,0.4097
lcdb1000036218,High Producing Exotic Grassland,46.357,R-03-low-overlap,1881.33,0.4058,0.0,0.0,0.4058
lcdb1000034656,High Producing Exotic Grassland,3318.8997,R-03-low-overlap,132380.51,0.3989,0.0,0.0,0.3989
lcdb1000058177,Low Producing Grassland,66.6206,R-03-low-overlap,2625.23,0.3941,0.0,0.0,0.3941
lcdb1000036464,High Producing Exotic Grassland,3064.1177,R-03-low-overlap|R-04-low-overlap,117762.72,0.3843,8128.88,0.0265,0.3843
lcdb1000404841,High Producing Exotic Grassland,7.1599,R-03-low-overlap,269.64,0.3766,0.0,0.0,0.3766
lcdb1000072524,Gorse and/or Broom,18.4346,R-03-low-overlap,687.58,0.373,0.0,0.0,0.373
lcdb1000035680-part-103,High Producing Exotic Grassland,29112.2957,R-03-low-overlap|R-04-low-overlap,1030057.25,0.3538,201697.95,0.0693,0.3538
lcdb1000071799,Gorse and/or Broom,5.4981,R-03-low-overlap,176.83,0.3216,0.0,0.0,0.3216
lcdb1000700835,High Producing Exotic Grassland,9.3329,R-03-low-overlap,297.8,0.3191,0.0,0.0,0.3191
lcdb1000700730,High Producing Exotic Grassland,435.2638,R-03-low-overlap|R-04-low-overlap,809.94,0.0186,13412.62,0.3081,0.3081
lcdb1000058393,Low Producing Grassland,113.6469,R-03-low-overlap,3372.57,0.2968,0.0,0.0,0.2968
lcdb1000035483,High Producing Exotic Grassland,1.5791,R-03-low-overlap,44.48,0.2817,0.0,0.0,0.2817
lcdb1000057701,Low Producing Grassland,6.0388,R-03-low-overlap,169.51,0.2807,0.0,0.0,0.2807
lcdb1000060469,Low Producing Grassland,7.8183,R-03-low-overlap,213.55,0.2731,0.0,0.0,0.2731
lcdb1000058362,Low Producing Grassland,401.2465,R-03-low-overlap,10898.97,0.2716,0.0,0.0,0.2716
lcdb1000036246,High Producing Exotic Grassland,1816.9614,R-03-low-overlap,46831.78,0.2577,0.0,0.0,0.2577
lcdb1000035680-part-46,High Producing Exotic Grassland,16940.901,R-03-low-overlap|R-04-low-overlap,435406.39,0.257,65870.44,0.0389,0.257
lcdb1000056848-part-2,Low Producing Grassland,149.8401,R-03-low-overlap,3834.59,0.2559,0.0,0.0,0.2559
lcdb1000700650,High Producing Exotic Grassland,3.1408,R-03-low-overlap,79.89,0.2544,0.0,0.0,0.2544
lcdb2000506438,Low Producing Grassland,4.8842,R-03-low-overlap,121.28,0.2483,0.0,0.0,0.2483
lcdb1000036970,High Producing Exotic Grassland,628.5629,R-03-low-overlap,15400.87,0.245,0.0,0.0,0.245
lcdb1000035762,High Producing Exotic Grassland,24.5739,R-03-low-overlap,595.48,0.2423,0.0,0.0,0.2423
lcdb1000035794,High Producing Exotic Grassland,1375.8458,R-03-low-overlap|R-04-low-overlap,33159.38,0.241,14688.4,0.1068,0.241
lcdb1000034878,High Producing Exotic Grassland,40.7812,R-03-low-overlap,945.06,0.2317,0.0,0.0,0.2317
lcdb1000450930,Low Producing Grassland,12.1972,R-03-low-overlap,279.36,0.229,0.0,0.0,0.229
lcdb2000501873,Low Producing Grassland,22.1745,R-04-low-overlap,0.0,0.0,489.03,0.2205,0.2205
